Dòng,Cột,Giá trị hiện tại,Sửa thành,Loại
2,GPU,Radeon,AMD Radeon Graphics,Ánh xạ lệch
3,CPU,Snapdragon X - X1 26 100,Snapdragon X X1-26-100,Ánh xạ lệch
3,GPU,Adreno,Qualcomm Adreno,Ánh xạ lệch
4,GPU,Graphics,Intel Graphics,Ánh xạ lệch
6,GPU,UHD,Intel UHD Graphics,Ánh xạ lệch
8,GPU,Arc,Intel Arc Graphics,Ánh xạ lệch
12,CPU Segment,Ryzen 7 AI,Ryzen AI 7,Lệch trong cùng dòng
13,GPU,Iris Xe,Intel Iris Xe Graphics,Ánh xạ lệch
14,GPU,Graphics,AMD Radeon 680M,Ánh xạ lệch
15,GPU,Iris Xe,Intel Iris Xe Graphics,Ánh xạ lệch
16,CPU Segment,Ryzen 5 AI,Ryzen AI 5,Lệch trong cùng dòng
16,CPU,Core i5-13500H,Core i5 13500H,Ánh xạ lệch
16,GPU,Graphics,AMD Radeon 860M,Ánh xạ lệch
17,CPU Segment,Ryzen 7 AI,Ryzen AI 7,Lệch trong cùng dòng
19,GPU,Graphics,AMD Radeon 820M,Ánh xạ lệch
24,GPU,Graphics,AMD Radeon Graphics,Ánh xạ lệch
25,CPU Segment,Ryzen AI MAX+,Ryzen AI Max+,Lệch trong cùng dòng
25,GPU,UHD,Intel UHD Graphics,Ánh xạ lệch
27,CPU Segment,Ryzen 9 AI,Ryzen AI 9,Lệch trong cùng dòng
28,CPU,Core i5-12500H,Core i5 12500H,Ánh xạ lệch
28,GPU,Arc,Intel Arc Graphics 130V,Ánh xạ lệch
29,CPU Segment,Ryzen 9 AI,Ryzen AI 9,Lệch trong cùng dòng
29,GPU,Iris Xe,Intel Iris Xe Graphics,Ánh xạ lệch
31,GPU,Graphics,AMD Radeon 610M,Ánh xạ lệch
32,CPU Segment,Ryzen AI MAX+,Ryzen AI Max+,Lệch trong cùng dòng
32,CPU,Core i5-13450HX,Core i5 13450HX,Ánh xạ lệch
32,GPU,Graphics,AMD Radeon 740M,Ánh xạ lệch
38,GPU,Graphics,AMD Radeon 780M,Ánh xạ lệch
40,GPU,RTX 5070,RTX 5070Ti,Ánh xạ lệch
41,CPU Segment,Ryzen AI 7,Ryzen 7,Lệch trong cùng dòng
41,CPU,Ryzen 7 260,Ryzen AI 7 260,Ánh xạ lệch
43,CPU Segment,i9,Core i9,Lệch trong cùng dòng
43,CPU,"i9, 14900HX",Core i9 14900HX,Ánh xạ lệch
44,CPU,"Celeron, N4500",Celeron N4500,Ánh xạ lệch
47,GPU,Adreno,Qualcomm Adreno,Ánh xạ lệch
54,GPU,Graphics,AMD Radeon 8060S,Ánh xạ lệch
58,GPU,Arc,Intel Arc Graphics 130V,Ánh xạ lệch
62,GPU,Arc,Intel Arc Graphics 140V,Ánh xạ lệch
