Loại,Giá trị chuẩn,Số cách viết,Các cách viết hiện có trong tab (dòng)
CPU,Apple M4,1,"""M4"" (G149)"
CPU,Apple M4 Pro,1,"""M4 Pro"" (G150)"
CPU,Apple M5,1,"""M5"" (G148)"
CPU,Apple M5 Max,1,"""M5 Max"" (G152)"
CPU,Apple M5 Pro,1,"""M5 Pro"" (G151)"
CPU,Celeron N4020,1,"""Celeron N4020"" (R474)"
CPU,Celeron N4500,1,"""Celeron N4500"" (R528)"
CPU,Core 3 100U,1,"""Core 3 100U"" (R367)"
CPU,Core 3 304,1,"""Core 3 304"" (G144)"
CPU,Core 3 N350,1,"""Core 3 N350"" (R297)"
CPU,Core 3 N355,1,"""Core 3 N355"" (R299)"
CPU,Core 5 120U,1,"""Core 5 120U"" (R540)"
CPU,Core 5 205H,1,"""Core 5 205H"" (G205)"
CPU,Core 5 210H,1,"""Core 5 210H"" (R494)"
CPU,Core 5 240H,1,"""Core 5 240H"" (R59)"
CPU,Core 5 320,1,"""Core 5 320"" (R526)"
CPU,Core 5 335U,1,"""Core 5 335U"" (G196)"
CPU,Core 7 150U,1,"""Core 7 150U"" (R387)"
CPU,Core 7 226V,1,"""Core 7 226V"" (G140)"
CPU,Core 7 230H,1,"""Core 7 230H"" (G204)"
CPU,Core 7 240H,1,"""Core 7 240H"" (R481)"
CPU,Core 7 320,1,"""Core 7 320"" (G158)"
CPU,Core 7 350,1,"""Core 7 350"" (R218)"
CPU,Core 9 270H,1,"""Core 9 270H"" (G141)"
CPU,Core Ultra 5 115U,1,"""Core Ultra 5 115U"" (R267)"
CPU,Core Ultra 5 125H,1,"""Core Ultra 5 125H"" (R517)"
CPU,Core Ultra 5 125U,1,"""Core Ultra 5 125U"" (R286)"
CPU,Core Ultra 5 135H,1,"""Core Ultra 5 135H"" (R461)"
CPU,Core Ultra 5 225,1,"""Core Ultra 5 225"" (R100)"
CPU,Core Ultra 5 225H,1,"""Core Ultra 5 225H"" (R469)"
CPU,Core Ultra 5 225U,1,"""Core Ultra 5 225U"" (R478)"
CPU,Core Ultra 5 226V,1,"""Core Ultra 5 226V"" (R434)"
CPU,Core Ultra 5 228V,1,"""Core Ultra 5 228V"" (R448)"
CPU,Core Ultra 5 235U,1,"""Core Ultra 5 235U"" (G122)"
CPU,Core Ultra 5 236V,2,"""Core Ultra 5 236V vPro"" (R317) | ""Core Ultra 5 236V"" (G123)"
CPU,Core Ultra 5 322,1,"""Core Ultra 5 322"" (R480)"
CPU,Core Ultra 5 325,1,"""Core Ultra 5 325"" (R167)"
CPU,Core Ultra 7 155H,1,"""Core Ultra 7 155H"" (R542)"
CPU,Core Ultra 7 155U,1,"""Core Ultra 7 155U"" (R275)"
CPU,Core Ultra 7 165U,1,"""Core Ultra 7 165U"" (G227)"
CPU,Core Ultra 7 255H,1,"""Core Ultra 7 255H"" (R383)"
CPU,Core Ultra 7 255HX,1,"""Core Ultra 7 255HX"" (R537)"
CPU,Core Ultra 7 255U,1,"""Core Ultra 7 255U"" (R388)"
CPU,Core Ultra 7 256V,1,"""Core Ultra 7 256V"" (G121)"
CPU,Core Ultra 7 258,1,"""Core Ultra 7 258"" (G217)"
CPU,Core Ultra 7 258V,1,"""Core Ultra 7 258V"" (R507)"
CPU,Core Ultra 7 265U,1,"""Core Ultra 7 265U"" (G230)"
CPU,Core Ultra 7 268V,1,"""Core Ultra 7 268V"" (R386)"
CPU,Core Ultra 7 355,1,"""Core Ultra 7 355"" (R527)"
CPU,Core Ultra 7 356H,1,"""Core Ultra 7 356H"" (R435)"
CPU,Core Ultra 7 358H,1,"""Core Ultra 7 358H"" (G62)"
CPU,Core Ultra 9 185H,1,"""Core Ultra 9 185H"" (R213)"
CPU,Core Ultra 9 275HX,1,"""Core Ultra 9 275HX"" (R460)"
CPU,Core Ultra 9 285H,1,"""Core Ultra 9 285H"" (R148)"
CPU,Core Ultra 9 285HX,1,"""Core Ultra 9 285HX"" (G218)"
CPU,Core Ultra 9 288V,1,"""Core Ultra 9 288V"" (R501)"
CPU,Core Ultra 9 290HX,1,"""Core Ultra 9 290HX Plus"" (R525)"
CPU,Core Ultra 9 386H,1,"""Core Ultra 9 386H"" (R506)"
CPU,Core Ultra X7 358H,1,"""Core Ultra X7 358H"" (R303)"
CPU,Core Ultra X9 388H,1,"""Core Ultra X9 388H"" (R151)"
CPU,Core i3 1005G1,1,"""Core i3 1005G1"" (R420)"
CPU,Core i3 10110U,1,"""Core i3 10110U"" (R458)"
CPU,Core i3 1115G4,1,"""Core i3 1115G4"" (R516)"
CPU,Core i3 1125G4,1,"""Core i3 1125G4"" (R421)"
CPU,Core i3 1215U,1,"""Core i3 1215U"" (R472)"
CPU,Core i3 1220P,1,"""Core i3 1220P"" (G153)"
CPU,Core i3 1305U,1,"""Core i3 1305U"" (R236)"
CPU,Core i3 1315U,1,"""Core i3 1315U"" (R544)"
CPU,Core i3 8130U,1,"""Core i3 8130U"" (R195)"
CPU,Core i3 8145U,1,"""Core i3 8145U"" (R197)"
CPU,Core i3 N305,1,"""Core i3 N305"" (G231)"
CPU,Core i5 10210U,1,"""Core i5 10210U"" (R405)"
CPU,Core i5 10300H,1,"""Core i5 10300H"" (R519)"
CPU,Core i5 1035G1,1,"""Core i5 1035G1"" (R477)"
CPU,Core i5 1135G7,1,"""Core i5 1135G7"" (R215)"
CPU,Core i5 11400H,1,"""Core i5 11400H"" (R512)"
CPU,Core i5 1155G7,1,"""Core i5 1155G7"" (R419)"
CPU,Core i5 1235U,1,"""Core i5 1235U"" (R522)"
CPU,Core i5 1240P,2,"""Core i5 1240P"" (R475) | ""Core I5 1240P"" (G185)"
CPU,Core i5 12450H,1,"""Core i5 12450H"" (R520)"
CPU,Core i5 12450HX,1,"""Core i5 12450HX"" (R539)"
CPU,Core i5 12500H,2,"""Core i5 12500H"" (R538) | ""Core i5 12500H"" (G168)"
CPU,Core i5 1334U,1,"""Core i5 1334U"" (R490)"
CPU,Core i5 1335U,1,"""Core i5 1335U"" (R487)"
CPU,Core i5 1340P,2,"""Core i5 1340P"" (R211) | ""Core i5 1340P"" (G171)"
CPU,Core i5 13420H,1,"""Core i5 13420H"" (R485)"
CPU,Core i5 13450HX,1,"""Core i5 13450HX"" (R536)"
CPU,Core i5 13500H,2,"""Core i5 13500H"" (R247) | ""Core I5 13500H"" (G167)"
CPU,Core i5 13500HX,1,"""Core i5 13500HX"" (G162)"
CPU,Core i5 14450HX,1,"""Core i5 14450HX"" (R493)"
CPU,Core i5 210H,1,"""Core i5 210H"" (R80)"
CPU,Core i5 4200U,1,"""Core i5 4200U"" (R354)"
CPU,Core i5 7200U,1,"""Core i5 7200U"" (R352)"
CPU,Core i5 8250U,1,"""Core i5 8250U"" (R360)"
CPU,Core i5 8265U,1,"""Core i5 8265U"" (R515)"
CPU,Core i7 10510U,1,"""Core i7 10510U"" (R483)"
CPU,Core i7 1065G7,1,"""Core i7 1065G7"" (R193)"
CPU,Core i7 10750H,1,"""Core i7 10750H"" (R518)"
CPU,Core i7 11370H,1,"""Core i7 11370H"" (R220)"
CPU,Core i7 1165G7,1,"""Core i7 1165G7"" (R422)"
CPU,Core i7 1185G7,1,"""Core i7 1185G7"" (R514)"
CPU,Core i7 1255U,1,"""Core i7 1255U"" (R357)"
CPU,Core i7 1260P,1,"""Core i7 1260P"" (G184)"
CPU,Core i7 12650H,2,"""Core i7 12650H"" (R237) | ""Core i7-12650H"" (G225)"
CPU,Core i7 12700H,1,"""Core i7 12700H"" (R350)"
CPU,Core i7 1355U,1,"""Core i7 1355U"" (R408)"
CPU,Core i7 1360P,1,"""Core i7 1360P"" (G179)"
CPU,Core i7 13620H,1,"""Core i7 13620H"" (R532)"
CPU,Core i7 13620HX,1,"""Core i7 13620HX"" (G157)"
CPU,Core i7 13645HX,1,"""Core i7 13645HX"" (R438)"
CPU,Core i7 13650HX,1,"""Core i7 13650HX"" (R429)"
CPU,Core i7 1365U,1,"""Core i7 1365U"" (R397)"
CPU,Core i7 13700H,2,"""Core i7 13700H"" (G191) | ""Core I7 13700H"" (G172)"
CPU,Core i7 13700HX,1,"""Core i7 13700HX"" (R398)"
CPU,Core i7 14650HX,1,"""Core i7 14650HX"" (R502)"
CPU,Core i7 14700HX,1,"""Core i7 14700HX"" (R523)"
CPU,Core i7 6700HQ,1,"""Core i7 6700HQ"" (R353)"
CPU,Core i7 8550U,1,"""Core i7 8550U"" (R411)"
CPU,Core i7 9750H,1,"""Core i7 9750H"" (R216)"
CPU,Core i9 12900H,1,"""Core i9 12900H"" (R336)"
